Category,Quantity,References,Value,Description,Fabricant,Reference Fabricant,Boitier
Modules,1,M1,MENTOR 1271-1004,"Guide de lumière, 4 voies, coudé, diamètre 3mm",Mentor,1271.1004,MENTOR 1271.1004
Capacitors,4,"C1-C2,C21-C22",10uF,10uF 10% 25V X7R 1206,AVX,12063C106KAT2A,CAPC3216X140
Capacitors,23,"C3-C20,C23-C24,C50-C52",100nF,100nF 50V 0805 X7R capacitor,AVX,08055C104K4Z2A,0805
Resistors,10,"R1-R2,R8,R32-R33,R57,R86-R87,R151-R152",10k,Reseau 4 resistances 10k 5%,Panasonic,EXB-38V103JV,EXB38V472JV
Resistors,12,"R3-R4,R15,R17,R20,R27-R28,R34,R37,R51,R53,R55",47k,RES 47k 1% 1/10W 0603,Vishay,CRCW060347K0FKEAC,0603
Resistors,33,"R5,R11,R13-R14,R16,R18,R48-R49,R84,R92-R94,R96,R100-R102,R104,R108-R110,R112,R116-R118,R120,R124-R126,R128,R132-R134,R136",20k,RES 20K 1% 1/10W 0603,Vishay,CRCW060320K0FKEAC,0603
Resistors,1,R6,8.2k,RES 8.2k 1% 1/10W 0603,Vishay,CRCW06038k20FKEAC,0603
Resistors,1,R7,47K,RES 47k 1% 1/10W 0603,Vishay,CRCW060347K0FKEAC,0603
Resistors,1,R9,6.2k,RES 6k2 1% 1/10W 0603,Vishay,CRCW06036K20FKEAC,0603
Resistors,1,R10,10k,RES 10k 1% 1/10W 0603,Vishay,CRCW060310K0FKEAC,0603
Resistors,1,R12,10K,RES 47k 1% 1/10W 0603,Vishay,CRCW060347K0FKEAC,NULL
Resistors,12,"R19,R22,R30-R31,R35,R46-R47,R50,R54,R56,R58,R71",49.9,RES 49R9 1% 3/4W 1206,Vishay,CRCW120649R9FKEAHP,1206
Resistors,14,"R21,R59,R61,R63,R65,R67,R70,R73-R74,R77,R79,R83,R144,R147",10k,RES 10K 1% 1/10W 0603,Vishay,CRCW060310K0JNEA,0603
Resistors,13,"R23,R60,R62,R64,R66,R68-R69,R72,R75-R76,R78,R80,R82",3k,RES 3K 1% 1/8W 0603,Vishay,CRCW06033K00FKEAC,0603
Resistors,1,R24,13k,RES 13K 1% 0.33W 0603,Vishay,CRCW060313K0JNEA,0603
Resistors,1,R25,1k,RES 1K 1% 1/10W 0603,Vishay,CRCW06031K00FKEAC,0603
Resistors,7,"R26,R97,R105,R113,R121,R129,R137",15k,RES 15K 1% 1/10W 0603,Vishay,CRCW060315K0FKEAC,0603
Resistors,1,R36,8.2k,RES 8K2 1% 1/10W 0603,Vishay,CRCW06038K20FKEAC,0603
Resistors,3,"R38,R142,R145",100K,RES 100K  5%  1/10W  0603,Vishay,CRCW0603100KJNEA,0603
Resistors,4,"R39,R148-R150",330,RES 330 1% 1/4W 0805,Vishay,RCC0805330RFKEA,0805
Resistors,1,R81,10K,RES 10K 1% 1/10W 0603,Vishay,CRCW060310K0JNEA,0603
Resistors,6,"R90,R98,R106,R114,R122,R130",15,RES 15R 1% 3/4W 1206,Vishay,CRCW120615R0FKEAHP,1206
Resistors,6,"R91,R99,R107,R115,R123,R131",7.5k,RES 7K5 1% 1/10W 0603,Vishay,CRCW06037K50FKEAC,0603
Integrated Circuits,7,"U1-U2,U4-U5,U7-U8,U10",LM339PWRG3,"Quad, General Purpose, Differential Comparator",Texas Instruments,LM339PWRG3,TSSOP14
Integrated Circuits,3,"U3,U6,U9",SN74LVC32AQPWRQ1,Quad 2-input positive-OR gates,Tecas Instruments,SN74LVC32AQPWRQ1,TSSOP14
Integrated Circuits,1,U11,LM1117IMP-5.0,LM1117 800mA Low-Dropout Linear Regulator.,Texas Instruments,LM1117MP-5.0/NOPB,SOT230P700X180-4
Integrated Circuits,1,U12,MCP1501-30E/SN,"Voltage Reference 3.000V +/-0.8% SOIC-8 Microchip MCP1501-30E/SN, Fixed Series Voltage Reference 3V, +/-0.08 % 5.5 V max., 8-Pin SOIC",Microchip,MCP1501-30E/SN,SOIC127P600X175-8N
Transistors,13,"Q1-Q10,Q16-Q18",NTR4003NT3G,"Small Signal MOSFET 30 V, 0.56 A, Single N-Channel, SOT-23",ON Semiconductor,NTR4003NT3G,SOT23-PINOUT1
Transistors,6,"Q11-Q15,Q20",PZT2222A,"NPN, 1.15mW, 150ºC, 40V, 600mA, hfe min=35",Nexperia,"PZT2222A,115",SOT223-3
Diodes,13,"D1-D10,D15-D17",MMSD4148T1G,"Switching Diode, 100V, 200mA, Vf=1V",ON Semiconductor,MMSD4148T1G,SOD-123
Diodes,4,D11-D14,KPTD3216MGC,"Led verte CMS, boitier 1206",Kingbright,KPTD3216MGC,KPTD-3216MGC
Miscellaneous,7,FU1-FU7,0.4A,Fusible réarmable CMS 0.4A / 100A / 30V,Littelfuse,1812L035/60,1812
Miscellaneous,8,"IC1,IC3-IC4,IC6-IC10",LM7322MA,"Dual Rail-to-Rail Input and Output ±15-V, High-Output Current Operational Amplifier",Texas Instruments,LM7322MA/NOPB,SO8
Miscellaneous,2,"IC5,IC12",MCP23018-E/SS,"I²C I/O expander, 16 ways",Microchip,MCP23018-E/SS,SSOP24
Miscellaneous,1,IC20,LM1117IMP-3.3,"3.3V regulator, SOT223, 800mA",Texas Instruments,LM1117IMP-3.3,SOT223-3
Miscellaneous,1,P1,2-530666-1 - Edge side,"Empreinte bord de carte, 12cts, pas 3.69mm",TE CONNECTIVITY,2-530666-1 (pour réf.),2-530666-1 - EDGE SIDE
Miscellaneous,1,P2,5645169-3 - Edge side,"Empreinte pour connecteur bord de carte, 98pts, pas 2.54mm",TE CONNECTIVITY,5645169-3 (pour réf.),5645169 - EDGE SIDE
Miscellaneous,18,"PT1-PT12,PT19-PT24",5029,Point test CMS pour grip-fil,Keystone,5029,5029
Miscellaneous,13,RL1-RL13,G6S-2F 12DC,"12Vdc 2A CMS relay, DPDT",OMRON,G6S-2F 12DC,G6S-2F
